LocalCol;TimeCol;PLC1_AI_FT_PORT_IST;PLC1_AI_POS_GETTO1;PLC1_AI_PT_LINEA;PLC1_AI_POT_ATTIVA;PLC1_AI_LT_BACINO;PLC1_AI_LT_BACINO2;FREE6;FREE7;FREE8;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA DI LINEA [EW166];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];LIVELLO CA PREVITALI [PlcCaPrevitali];;;;;;;;;;;;;;;
12/01/2023 08:07:00;12/01/2023 07:07:00;0,900209;0,2;33,1163;0;43,1633;21,9975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:08:00;12/01/2023 07:08:00;1,31301;5,33002;32,947;0;42,7948;21,9975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:09:00;12/01/2023 07:09:00;3,03367;7,08221;32,798;0;42,4237;21,9975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:10:00;12/01/2023 07:10:00;4,32928;7,35908;33,0237;0;42,7948;21,9975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:11:00;12/01/2023 07:11:00;9,73651;15,859;31,9878;34,2012;41,4999;21,9975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:12:00;12/01/2023 07:12:00;22,619;24,2363;31,6001;65,4408;36,6913;21,9162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:13:00;12/01/2023 07:13:00;23,7062;20,1782;31,9401;53,5932;31,1432;21,8878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:14:00;12/01/2023 07:14:00;18,0537;14,1029;32,4436;29,5308;26,9848;21,8593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:15:00;12/01/2023 07:15:00;14,7146;14,1029;32,3148;29,2128;26,2425;21,8593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:16:00;12/01/2023 07:16:00;14,2037;14,1029;32,3394;29,2608;26,3347;21,8133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:17:00;12/01/2023 07:17:00;14,1465;14,1029;32,309;29,5848;26,2425;21,8133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:18:00;12/01/2023 07:18:00;14,1179;14,1029;32,2946;29,4048;26,3347;21,778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:19:00;12/01/2023 07:19:00;14,0811;14,1029;32,3148;29,4312;26,6191;21,7672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:20:00;12/01/2023 07:20:00;14,0361;14,1029;32,3683;29,5692;32,3081;21,7672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:21:00;12/01/2023 07:21:00;14,3141;14,1029;32,3814;29,628;32,0697;21,7672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:22:00;12/01/2023 07:22:00;14,2037;14,1029;32,3857;29,6916;30,959;21,7239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:23:00;12/01/2023 07:23:00;14,171;14,1029;32,3365;29,4624;31,0511;21,7211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:24:00;12/01/2023 07:24:00;14,2487;14,1029;32,3394;29,6328;32,4409;21,7211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:25:00;12/01/2023 07:25:00;14,1833;14,1029;32,3712;29,4828;31,7907;21,6737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:26:00;12/01/2023 07:26:00;14,2241;14,1029;32,3958;29,7252;32,0697;21,6737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:27:00;12/01/2023 07:27:00;14,2732;14,1029;32,3568;29,232;32,9014;21,6737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:28:00;12/01/2023 07:28:00;14,2119;14,1029;32,4074;29,6988;33,3646;21,6304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:29:00;12/01/2023 07:29:00;14,2119;14,1029;32,3568;29,4768;33,0802;21,6277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:30:00;12/01/2023 07:30:00;14,171;14,1029;32,3857;29,4804;34,0094;21,6047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
