,x__TimeStamp,PLC1_AI_PT_LINEA,PLC1_AI_PT_TURBINA,PLC1_AI_POT_ATTIVA,PLC1_AI_FT_PORT_IST,PLC1_AI_COSPHI,PLC1_AI_LT_STRAMAZZO
11119,21/09/2022 10:45:00,32.9284,32.2338,0.0,0.4128,0.0000,0.0000
11120,21/09/2022 11:00:00,32.8299,32.1319,0.0,0.4084,0.0000,0.0000
11121,21/09/2022 11:15:00,32.9479,32.253,0.0,0.4269,0.0000,0.0000
11122,21/09/2022 11:30:00,32.9233,32.2267,0.0,0.4164,0.0000,0.0000
11123,21/09/2022 11:45:00,32.8533,32.1574,0.0,0.4135,0.0000,0.0000
11124,21/09/2022 12:00:00,32.8295,32.1337,0.0,0.4251,0.0000,0.0000
11125,21/09/2022 12:15:00,32.874,32.1837,0.0,0.4171,0.0000,0.0000
11126,21/09/2022 12:30:00,32.832,32.1393,0.0,0.4167,0.0000,0.0000
11127,21/09/2022 12:45:00,32.6617,31.9694,0.0,0.4151,0.0000,0.0000
11128,21/09/2022 13:00:00,32.6976,32.0064,0.0,0.41,0.0000,0.0000
11129,21/09/2022 13:15:00,32.7823,32.0932,0.0,0.4248,0.0000,0.0000
11130,21/09/2022 13:30:00,32.7326,32.0425,0.0,0.4183,0.0000,0.0000
11131,21/09/2022 13:45:00,32.681,31.9944,0.0,0.4098,0.0000,0.0000
11132,21/09/2022 14:00:00,32.6972,32.0113,0.0,0.4246,0.0000,0.0000
11133,21/09/2022 14:15:00,32.7928,32.1055,0.0,0.4146,0.0000,0.0000
11134,21/09/2022 14:30:00,32.8922,32.2007,0.0,0.4164,0.0000,0.0000
11135,21/09/2022 14:45:00,32.8425,32.1486,0.0,0.4243,0.0000,0.0000
11136,21/09/2022 15:00:00,32.8412,32.1497,0.0,0.4179,0.0000,0.0000
11137,21/09/2022 15:15:00,32.8762,32.191,0.0,0.4284,0.0000,0.0000
11138,21/09/2022 15:30:00,32.9053,32.2218,0.0,0.4286,0.0000,0.0000
11139,21/09/2022 15:45:00,32.839,32.1505,0.0,0.428,0.0000,0.0000
11140,21/09/2022 16:00:00,32.7897,32.1018,0.0,0.4323,0.0000,0.0000
11141,21/09/2022 16:15:00,32.809,32.1215,0.0,0.4224,0.0000,0.0000
11142,21/09/2022 16:30:00,32.8691,32.1776,0.0,0.4281,0.0000,0.0000
11143,21/09/2022 16:45:00,32.7021,32.0129,0.0,0.4188,0.0000,0.0000
